pid	sid	vcf_id
P12697	S22007	UW_EPIC_2231
P12741	S89569	UW_EPIC_239
P12744	S14250	UW_EPIC_2461
P12772	S65938	UW_EPIC_2573
P12773	S20642	UW_EPIC_9108
P12791	S95676	UNC_MOD0159
P12800	S17358	JHU_TSS_62_1049_1
P12803	S84518	UNC_MOD0217
P12815	S16202	UW_EPIC_435
P12841	S58824	JHU_TSS_529_1891_1
P12920	S29703	UNC_MOD1783
P12949	S79892	UW_EPIC_9619
P13023	S35855	UW_EPIC_331
P13043	S11616	JHU_TSS_604_2029_1
P13065	S81829	JHU_TSS_836_228_1
P13112	S35496	UW_EPIC_2437
P13117	S55663	JHU_TSS_894_2574_1
P13121	S79963	UW_EPIC_1534
P13143	S69594	UNC_MOD0879
P13156	S62539	JHU_TSS_1025_2824_1
P13201	S52200	UNC_MOD1132
P13208	S18175	UW_EPIC_245
P13221	S82480	UW_EPIC_35188
P13250	S58650	UNC_MOD2602
P13270	S30791	UW_EPIC_3575
P13281	S98384	JHU_CFRD_404_10464_1
P13283	S60817	UW_EPIC_1842
P13287	S61025	UNC_MOD1543
P13338	S81789	UW_EPIC_1573
P13349	S53373	UNC_MOD2071
P13350	S32765	UW_EPIC_1918
P13369	S22867	JHU_CFRD_324_10383_1
P13402	S68183	UW_EPIC_2013
P13414	S51404	JHU_TSS_130_1163_1
P13432	S83577	UNC_MOD1050
P13451	S81863	JHU_TSS_1036_2854_1
P13452	S77659	JHU_TSS_33_1004_1
P13466	S12543	JHU_TSS_83_1126_1
P13494	S42083	UW_EPIC_222
P13507	S15160	UNC_MOD0380
P13526	S94070	UW_EPIC_3638
P13551	S85575	JHU_TSS_746_2392_1
P13675	S97795	JHU_TSS_40_1014_1
P13696	S57513	JHU_TSS_246_1353_1
P13732	S40268	JHU_TSS_855_2497_1
P13744	S97389	JHU_TSS_1030_2837_1
P13813	S37704	JHU_TSS_852_2492_1
P13838	S75833	UNC_MOD0813
P13845	S38916	UNC_MOD0400
P13857	S88504	UW_EPIC_3259
P13891	S93629	UNC_MOD1503
P13925	S45615	JHU_TSS_1018_2810_1
P13959	S31409	UNC_MOD2337
P13959	S97697	JHU_TSS_864_2515_1
P13980	S29314	JHU_TSS_572_1966_2
P13980	S87184	JHU_TSS_572_1966_1
P14001	S45071	UNC_MOD2413
P14008	S44025	UW_EPIC_1668
P14033	S35456	UW_EPIC_7213
P14034	S87444	UNC_MOD1027
P14063	S59234	UNC_MOD1759
P14071	S18725	JHU_TSS_700_2197_1
P14078	S37681	JHU_TSS_297_1451_1
P14089	S80636	JHU_CFRD_294_10353_1
P14098	S59441	UW_EPIC_2378
P14138	S44673	JHU_TSS_721_2238_1
P14157	S94346	UNC_MOD1851
P14201	S89103	JHU_TSS_631_2130_1
P14215	S81702	UW_EPIC_2276
P14251	S79777	JHU_TSS_403_1647_1
P14256	S85426	JHU_TSS_969_2712_1
P14258	S36207	JHU_TSS_500_1831_1
P14278	S45680	UNC_MOD1818
P14291	S19177	UNC_MOD1225
P14309	S78890	UNC_MOD1207
P14336	S95471	JHU_CFRD_269_10328_1
P14347	S66927	JHU_TSS_907_2594_1
P14357	S25714	JHU_TSS_898_2581_1
P14360	S35388	JHU_TSS_1_2_1
P14368	S51064	UW_EPIC_8528
P14407	S22732	UNC_MOD1934
P14425	S97012	UW_EPIC_2481
P14441	S11640	JHU_TSS_777_2348_1
P14456	S56799	UNC_MOD1369
P14457	S31243	UNC_MOD0388
P14469	S46088	UNC_MOD0834
P14472	S13662	UNC_MOD1776
P14496	S47131	JHU_TSS_205_1282_1
P14510	S52066	UNC_MOD1419
P14528	S24212	UNC_MOD0322
P14563	S54164	UNC_MOD0573
P14569	S90262	UW_EPIC_459
P14604	S53007	UNC_MOD2689
P14609	S98618	JHU_CFRD_292_10351_1
P14610	S56911	JHU_TSS_928_2632_1
P14611	S35344	UW_EPIC_2031
P14626	S42723	JHU_TSS_50_1031_1
P14639	S66602	UNC_MOD0402
P14652	S28522	UNC_MOD1297
P14661	S66119	JHU_TSS_723_2846_1
P14705	S10975	UW_EPIC_13002
P14708	S61571	UW_EPIC_2228
P14729	S36157	JHU_CFRD_157_10197_1
P14740	S25078	JHU_TSS_1034_2850_1
P14752	S71134	UW_EPIC_2302
P14770	S13867	JHU_TSS_149_1197_1
P14780	S52883	UW_EPIC_347
P14794	S20676	UNC_MOD0867
P14808	S42257	UW_EPIC_215
P14809	S76682	UNC_MOD1839
P14816	S77645	JHU_TSS_316_1487_1
P14826	S29816	UW_EPIC_1584
P14862	S77242	JHU_TSS_692_2187_1
P14876	S72094	UW_EPIC_176
